,count,mean,std,min,25%,50%,75%,max
case,248774.0,1.778666634763683,0.6709386102281127,-1.070620594702702,1.3255384680781628,1.7793227514126537,2.230700997329663,5.081427933459835
control,248768.0,0.694581732145473,0.6712799510696078,-2.5135967130514585,0.2415080074618525,0.6948113869651,1.1452873597937114,3.7303644558671554
